homeport,nb_pointcalls,tonnage,country_group,category_1,category_2
Rostock,1,1,Europe centrale,étranger,Mecklenbourg
Arendal,1,1,Europe du Nord,étranger,Danemark
Cowes,1,1,Europe du Nord,étranger,Grande-Bretagne
Dublin,1,1,Europe du Nord,étranger,Grande-Bretagne
Ilfracombe,1,1,Europe du Nord,étranger,Grande-Bretagne
Saint-Jean-de-Luz,1,1,France,France,France (hors région PASA)
Landerneau,1,1,France,France,France (hors région PASA)
Workum,1,1,Europe du Nord,étranger,Provinces-Unies
IJlst,1,1,Europe du Nord,étranger,Provinces-Unies
Soubise,1,1,France,France,France (région PASA)
Newton,1,1,Europe du Nord,étranger,Grande-Bretagne
