line_number,source_type,year,customs_region,partner,partner_orthographic,export_import,product,product_orthographic,value,quantity,quantity_unit,quantity_unit_orthographic,value_per_unit,yearstr,customs_region_origin,customs_office,origin_origin,width_in_line,value_part_of_bundle,filepath,source,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,value_minus_un_source,absurd_observation,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks,customs_region_grouping,origin,partner_simplification,partner_grouping,partner_obrien,partner_sourcename,partner_wars,partner_africa,nb_occurence_BdCFR,product_simplification,product_sitc,imprimatur,product_edentreaty,surement_pas_canada,product_canada,details_provenance,peche,product_medicinales,nbr_obs,product_hamburg,product_grains,product_coton,product_ulrich,product_coffee,product_porcelaine,product_v_glass_beads,product_revolutionempire,product_beaver,product_type_textile,product_luxe_dans_type,product_luxe_dans_SITC,product_sitc_FR,product_sitc_EN,product_sitc_simplEN,obsolete,product_RE_aggregate,product_threesectors,product_threesectorsM,quantity_unit_simplification,conv_orthographic_to_simplificat,quantity_unit_metric,conv_simplification_to_metric,needs_more_details,quantities_metric,unit_price_metric,best_guess_national_prodxpart,best_guess_national_partner,best_guess_national_product,best_guess_region_prodxpart,best_guess_national_region,computed_value,value_as_reported,computed_value_per_unit,computed_quantity,value_minus_unit_val_x_qty
108,National toutes directions partenaires manquants,1789,La Rochelle,Petites iles,Petites Îles,Exports,Eau de vie simple,eau-de-vie simple,208.16299,1.03,livres,livres,202.10001,1789,La Rochelle,Charente,Angoumois,,,sources/National toutes directions partenaires manquants/AN_F12_1666_La_Rochelle_Exports_1789.csv,AN F12 1666,11,,,,,Ahmed,,14 sous la pinte ou 202lt et 2s le muid,.28999999,,,,,,,,La Rochelle,Angoumois,Petites Îles,France,Petites Îles,France,Îles,Not Outre-mers,196,eau-de-vie simple,1,,Eau de vie de France,1,Pas importé en France depuis l'Amérique avant 1763,,0,not a medical product,270,Eau ; de vie,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Eaux-de-vie et liqueurs,No link with beaver,,,,Boissons et tabac,Beverages and tobacco,Drinks and tobacco,non,Subsistances,Agriculture,Produits agricoles,livres,1,kg,.48949999,0,.50418496,412.8703,0,0,0,1,1,1,208,0,0,-.16300051
109,National toutes directions partenaires manquants,1789,La Rochelle,Portugal,Portugal,Exports,Eau de vie simple,eau-de-vie simple,13098.101,64.809998,livres,livres,202.10001,1789,La Rochelle,Charente,Angoumois,,,sources/National toutes directions partenaires manquants/AN_F12_1666_La_Rochelle_Exports_1789.csv,AN F12 1666,11,,,,,Ahmed,,14 sous la pinte ou 202lt et 2s le muid,-1.2,,,,,,,,La Rochelle,Angoumois,Portugal,Portugal,Portugal,Portugal,Portugal et ses colonies,Not Outre-mers,196,eau-de-vie simple,1,,Eau de vie de France,1,Pas importé en France depuis l'Amérique avant 1763,,0,not a medical product,270,Eau ; de vie,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Eaux-de-vie et liqueurs,No link with beaver,,,,Boissons et tabac,Beverages and tobacco,Drinks and tobacco,non,Subsistances,Agriculture,Produits agricoles,livres,1,kg,.48949999,0,31.724493,412.8703,0,0,0,1,1,1,13096,0,0,-2.1009021
11,National toutes directions partenaires manquants,1789,La Rochelle,Petites iles,Petites Îles,Exports,Charbon de bois,charbon de bois,783,,,unité manquante,,1789,La Rochelle,Les Sables d'Olonne,Poitou,,,sources/National toutes directions partenaires manquants/AN_F12_1666_La_Rochelle_Exports_1789.csv,AN F12 1666,3,,,,,Ahmed,,marchandises en estimation,,,,,,,,,La Rochelle,Poitou,Petites Îles,France,Petites Îles,France,Îles,Not Outre-mers,100,charbon de bois,3,x,,1,Pas importé en France depuis l'Amérique avant 1763,,0,not a medical product,305,,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Combustibles dont charbons et bois,No link with beaver,,,,Combustibles,Fuels,Other,non,Matières premières,Non-agricultural primary goods,Produits primaires,unité manquante,,unité manquante,,,,,0,0,0,1,1,0,783,0,0,
110,National toutes directions partenaires manquants,1789,La Rochelle,Angleterre,Angleterre,Exports,Eau de vie simple,eau-de-vie simple,1920354.3,9502,muids,muids,202.10001,1789,La Rochelle,Charente,Angoumois,,,sources/National toutes directions partenaires manquants/AN_F12_1666_La_Rochelle_Exports_1789.csv,AN F12 1666,11,,,,,Ahmed,,14 sous la pinte ou 202lt et 2s le muid,-.2,,,,,,,,La Rochelle,Angoumois,Angleterre,Angleterre,Angleterre,Angleterre,Angleterre et ses colonies,Not Outre-mers,196,eau-de-vie simple,1,,Eau de vie de France,1,Pas importé en France depuis l'Amérique avant 1763,,0,not a medical product,270,Eau ; de vie,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Eaux-de-vie et liqueurs,No link with beaver,,,,Boissons et tabac,Beverages and tobacco,Drinks and tobacco,non,Subsistances,Agriculture,Produits agricoles,muids,1,litres,268.21439,1,2548573,.75350171,0,0,0,1,1,1,1920354,0,0,-.25799561
111,National toutes directions partenaires manquants,1789,La Rochelle,Hollande,Hollande,Exports,Eau de vie simple,eau-de-vie simple,2627.3,13,muids,muids,202.10001,1789,La Rochelle,Charente,Angoumois,,,sources/National toutes directions partenaires manquants/AN_F12_1666_La_Rochelle_Exports_1789.csv,AN F12 1666,11,,,,,Ahmed,,14 sous la pinte ou 202lt et 2s le muid,-.30000001,,,,,,,,La Rochelle,Angoumois,Hollande,Hollande,Hollande,Hollande,Hollande et ses colonies,Not Outre-mers,196,eau-de-vie simple,1,,Eau de vie de France,1,Pas importé en France depuis l'Amérique avant 1763,,0,not a medical product,270,Eau ; de vie,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Eaux-de-vie et liqueurs,No link with beaver,,,,Boissons et tabac,Beverages and tobacco,Drinks and tobacco,non,Subsistances,Agriculture,Produits agricoles,muids,1,litres,268.21439,1,3486.7871,.75350171,0,0,0,1,1,1,2627,0,0,-.30007935
112,National toutes directions partenaires manquants,1789,La Rochelle,Quatre villes hanséatiques,Quatre villes hanséatiques,Exports,Eau de vie simple,eau-de-vie simple,63863.602,316,muids,muids,202.10001,1789,La Rochelle,Charente,Angoumois,,,sources/National toutes directions partenaires manquants/AN_F12_1666_La_Rochelle_Exports_1789.csv,AN F12 1666,11,,,,,Ahmed,,14 sous la pinte ou 202lt et 2s le muid,-.60000002,,,,,,,,La Rochelle,Angoumois,Villes hanséatiques,Nord,Villes hanséatiques,Villes hanséatiques,Villes hanséatiques,Not Outre-mers,196,eau-de-vie simple,1,,Eau de vie de France,1,Pas importé en France depuis l'Amérique avant 1763,,0,not a medical product,270,Eau ; de vie,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Eaux-de-vie et liqueurs,No link with beaver,,,,Boissons et tabac,Beverages and tobacco,Drinks and tobacco,non,Subsistances,Agriculture,Produits agricoles,muids,1,litres,268.21439,1,84755.742,.75350171,0,0,0,1,1,1,63863,0,0,-.60192871
113,National toutes directions partenaires manquants,1789,La Rochelle,Etats de l'Empereur,États de l'Empereur,Exports,Eau de vie simple,eau-de-vie simple,188167.23,931.06,muids,muids,202.10001,1789,La Rochelle,Charente,Angoumois,,,sources/National toutes directions partenaires manquants/AN_F12_1666_La_Rochelle_Exports_1789.csv,AN F12 1666,11,,,,,Ahmed,,14 sous la pinte ou 202lt et 2s le muid,-.33000001,,,,,,,,La Rochelle,Angoumois,États de l'Empereur,Flandre et autres états de l'Empereur,États de l'Empereur,Flandres,États de l'Empereur,Not Outre-mers,196,eau-de-vie simple,1,,Eau de vie de France,1,Pas importé en France depuis l'Amérique avant 1763,,0,not a medical product,270,Eau ; de vie,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Eaux-de-vie et liqueurs,No link with beaver,,,,Boissons et tabac,Beverages and tobacco,Drinks and tobacco,non,Subsistances,Agriculture,Produits agricoles,muids,1,litres,268.21439,1,249723.69,.75350171,0,0,0,1,1,1,188166,0,0,-1.2311894
114,National toutes directions partenaires manquants,1789,La Rochelle,Danemark,Danemark,Exports,Eau de vie simple,eau-de-vie simple,62735.887,310.42001,muids,muids,202.10001,1789,La Rochelle,Charente,Angoumois,,,sources/National toutes directions partenaires manquants/AN_F12_1666_La_Rochelle_Exports_1789.csv,AN F12 1666,11,,,,,Ahmed,,14 sous la pinte ou 202lt et 2s le muid,-.20999999,,,,,,,,La Rochelle,Angoumois,Danemark,Nord,Danemark,Danemark,Danemark et ses colonies,Not Outre-mers,196,eau-de-vie simple,1,,Eau de vie de France,1,Pas importé en France depuis l'Amérique avant 1763,,0,not a medical product,270,Eau ; de vie,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Eaux-de-vie et liqueurs,No link with beaver,,,,Boissons et tabac,Beverages and tobacco,Drinks and tobacco,non,Subsistances,Agriculture,Produits agricoles,muids,1,litres,268.21439,1,83259.117,.75350171,0,0,0,1,1,1,62735,0,0,-.88660842
115,National toutes directions partenaires manquants,1789,La Rochelle,Dunkerque,Dunkerque,Exports,Eau de vie double,eau-de-vie double,305356,1325.33,muids,muids,230.39999,1789,La Rochelle,Charente,Angoumois,,,sources/National toutes directions partenaires manquants/AN_F12_1666_La_Rochelle_Exports_1789.csv,AN F12 1666,11,,,,,Ahmed,,,-38.799999,,,,,,,,La Rochelle,Angoumois,Dunkerque,France,Dunkerque,France,France,Not Outre-mers,37,eau-de-vie double,1,,Eau de vie de France,1,Pas importé en France depuis l'Amérique avant 1763,,0,not a medical product,56,Eau ; de vie,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Eaux-de-vie et liqueurs,No link with beaver,,,,Boissons et tabac,Beverages and tobacco,Drinks and tobacco,non,Subsistances,Agriculture,Produits agricoles,muids,1,litres,268.21439,1,355472.56,.85901433,0,0,0,1,1,1,305318,0,0,-38.013786
116,National toutes directions partenaires manquants,1789,La Rochelle,Portugal,Portugal,Exports,Eau de vie double,eau-de-vie double,28242.432,122.58,muids,muids,230.39999,1789,La Rochelle,Charente,Angoumois,,,sources/National toutes directions partenaires manquants/AN_F12_1666_La_Rochelle_Exports_1789.csv,AN F12 1666,11,,,,,Ahmed,,,44.799999,,,,,,,,La Rochelle,Angoumois,Portugal,Portugal,Portugal,Portugal,Portugal et ses colonies,Not Outre-mers,37,eau-de-vie double,1,,Eau de vie de France,1,Pas importé en France depuis l'Amérique avant 1763,,0,not a medical product,56,Eau ; de vie,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Eaux-de-vie et liqueurs,No link with beaver,,,,Boissons et tabac,Beverages and tobacco,Drinks and tobacco,non,Subsistances,Agriculture,Produits agricoles,muids,1,litres,268.21439,1,32877.719,.85901433,0,0,0,1,1,1,28288,0,0,45.568325
117,National toutes directions partenaires manquants,1789,La Rochelle,Angleterre,Angleterre,Exports,Eau de vie double,eau-de-vie double,2577261.3,11186.03,muids,muids,230.39999,1789,La Rochelle,Charente,Angoumois,,,sources/National toutes directions partenaires manquants/AN_F12_1666_La_Rochelle_Exports_1789.csv,AN F12 1666,11,,,,,Ahmed,,,-.80000001,,,,,,,,La Rochelle,Angoumois,Angleterre,Angleterre,Angleterre,Angleterre,Angleterre et ses colonies,Not Outre-mers,37,eau-de-vie double,1,,Eau de vie de France,1,Pas importé en France depuis l'Amérique avant 1763,,0,not a medical product,56,Eau ; de vie,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Eaux-de-vie et liqueurs,No link with beaver,,,,Boissons et tabac,Beverages and tobacco,Drinks and tobacco,non,Subsistances,Agriculture,Produits agricoles,muids,1,litres,268.21439,1,3000254.3,.85901433,0,0,0,1,1,1,2577260,0,0,-1.3067259
118,National toutes directions partenaires manquants,1789,La Rochelle,Hollande,Hollande,Exports,Eau de vie double,eau-de-vie double,7704.5757,33.439999,muids,muids,230.39999,1789,La Rochelle,Charente,Angoumois,,,sources/National toutes directions partenaires manquants/AN_F12_1666_La_Rochelle_Exports_1789.csv,AN F12 1666,11,,,,,Ahmed,,,-.60000002,,,,,,,,La Rochelle,Angoumois,Hollande,Hollande,Hollande,Hollande,Hollande et ses colonies,Not Outre-mers,37,eau-de-vie double,1,,Eau de vie de France,1,Pas importé en France depuis l'Amérique avant 1763,,0,not a medical product,56,Eau ; de vie,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Eaux-de-vie et liqueurs,No link with beaver,,,,Boissons et tabac,Beverages and tobacco,Drinks and tobacco,non,Subsistances,Agriculture,Produits agricoles,muids,1,litres,268.21439,1,8969.0889,.85901433,0,0,0,1,1,1,7705,0,0,.42452052
119,National toutes directions partenaires manquants,1789,La Rochelle,Quatre villes hanséatiques,Quatre villes hanséatiques,Exports,Eau de vie double,eau-de-vie double,2055.168,8.9200001,muids,muids,230.39999,1789,La Rochelle,Charente,Angoumois,,,sources/National toutes directions partenaires manquants/AN_F12_1666_La_Rochelle_Exports_1789.csv,AN F12 1666,11,,,,,Ahmed,,,-.40000001,,,,,,,,La Rochelle,Angoumois,Villes hanséatiques,Nord,Villes hanséatiques,Villes hanséatiques,Villes hanséatiques,Not Outre-mers,37,eau-de-vie double,1,,Eau de vie de France,1,Pas importé en France depuis l'Amérique avant 1763,,0,not a medical product,56,Eau ; de vie,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Eaux-de-vie et liqueurs,No link with beaver,,,,Boissons et tabac,Beverages and tobacco,Drinks and tobacco,non,Subsistances,Agriculture,Produits agricoles,muids,1,litres,268.21439,1,2392.4724,.85901433,0,0,0,1,1,1,2054,0,0,-1.1679631
12,National toutes directions partenaires manquants,1789,La Rochelle,Petites iles,Petites Îles,Exports,Grains comestibles froment,grains comestibles froment,864,8640,livres,livres,.1,1789,La Rochelle,Les Sables d'Olonne,Poitou,,,sources/National toutes directions partenaires manquants/AN_F12_1666_La_Rochelle_Exports_1789.csv,AN F12 1666,3,,,,,Ahmed,,en quintal,0,,,,,,,,La Rochelle,Poitou,Petites Îles,France,Petites Îles,France,Îles,Not Outre-mers,3,grains froment,0a,x,,0,Hors Canada,,0,not a medical product,1492,,Froment (1),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Blé et autres grains comestibles,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,non,Subsistances,Agriculture,Produits agricoles,livres,1,kg,.48949999,0,4229.2798,.20429011,0,0,0,1,1,0,864,0,0,-.000012874603
120,National toutes directions partenaires manquants,1789,La Rochelle,Etats de l'Empereur,États de l'Empereur,Exports,Eau de vie double,eau-de-vie double,211129.33,916.35999,muids,muids,230.39999,1789,La Rochelle,Charente,Angoumois,,,sources/National toutes directions partenaires manquants/AN_F12_1666_La_Rochelle_Exports_1789.csv,AN F12 1666,11,,,,,Ahmed,,,.40000001,,,,,,,,La Rochelle,Angoumois,États de l'Empereur,Flandre et autres états de l'Empereur,États de l'Empereur,Flandres,États de l'Empereur,Not Outre-mers,37,eau-de-vie double,1,,Eau de vie de France,1,Pas importé en France depuis l'Amérique avant 1763,,0,not a medical product,56,Eau ; de vie,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Eaux-de-vie et liqueurs,No link with beaver,,,,Boissons et tabac,Beverages and tobacco,Drinks and tobacco,non,Subsistances,Agriculture,Produits agricoles,muids,1,litres,268.21439,1,245780.94,.85901433,0,0,0,1,1,1,211130,0,0,.66496801
121,National toutes directions partenaires manquants,1789,La Rochelle,Danemark,Danemark,Exports,Eau de vie double,eau-de-vie double,23802.623,103.31,muids,muids,230.39999,1789,La Rochelle,Charente,Angoumois,,,sources/National toutes directions partenaires manquants/AN_F12_1666_La_Rochelle_Exports_1789.csv,AN F12 1666,11,,,,,Ahmed,,,.40000001,,,,,,,,La Rochelle,Angoumois,Danemark,Nord,Danemark,Danemark,Danemark et ses colonies,Not Outre-mers,37,eau-de-vie double,1,,Eau de vie de France,1,Pas importé en France depuis l'Amérique avant 1763,,0,not a medical product,56,Eau ; de vie,Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Eaux-de-vie et liqueurs,No link with beaver,,,,Boissons et tabac,Beverages and tobacco,Drinks and tobacco,non,Subsistances,Agriculture,Produits agricoles,muids,1,litres,268.21439,1,27709.229,.85901433,0,0,0,1,1,1,23802,0,0,-.62280697
122,National toutes directions partenaires manquants,1789,La Rochelle,Petites iles,Petites Îles,Exports,Fruits secs,fruits secs,1122,,,unité manquante,,1789,La Rochelle,Charente,Saintonge,,,sources/National toutes directions partenaires manquants/AN_F12_1666_La_Rochelle_Exports_1789.csv,AN F12 1666,11,,,,,Ahmed,,,,,,,,,,,La Rochelle,Saintonge,Petites Îles,France,Petites Îles,France,Îles,Not Outre-mers,227,fruits secs,0a,x,,1,Pas importé en France depuis l'Amérique avant 1763,,0,not a medical product,892,"Fruits ; divers ; amandes, pelures, raisins, prunes",Pas grain (0),not raw cotton,out,Not coffee,Sans lien avec la porcelaine,out,Fruits secs et noix,No link with beaver,,,,Autres produits alimentaires et animaux,Other foodstuff and live animals,Other foodstuffs and live animals,non,Subsistances,Agriculture,Produits agricoles,unité manquante,,unité manquante,,,,,0,0,0,1,1,0,1122,0,0,
